,Borough,Neighborhood,Latitude,Longitude
0,Bronx,Wakefield,40.89470518,-73.84720052
1,Bronx,Co-op City,40.87429419,-73.82993911
2,Bronx,Eastchester,40.88755568,-73.82780645
3,Bronx,Fieldston,40.89543743,-73.9056426
4,Bronx,Riverdale,40.89083449,-73.91258546
5,Bronx,Kingsbridge,40.88168737,-73.90281799
7,Bronx,Woodlawn,40.89827261,-73.86731497
8,Bronx,Norwood,40.87722416,-73.87939074
9,Bronx,Williamsbridge,40.88103888,-73.85744643
10,Bronx,Baychester,40.86685811,-73.8357976
11,Bronx,Pelham Parkway,40.8574135,-73.85475564
12,Bronx,City Island,40.8472467,-73.78648845
13,Bronx,Bedford Park,40.87018516,-73.88551218
14,Bronx,University Heights,40.85572708,-73.91041596
15,Bronx,Morris Heights,40.84789793,-73.91967159
16,Bronx,Fordham,40.8609968,-73.89642656
17,Bronx,East Tremont,40.84269616,-73.88735618
18,Bronx,West Farms,40.83947506,-73.87774475
19,Bronx,High  Bridge,40.83662301,-73.92610209
20,Bronx,Melrose,40.81975437,-73.90942161
21,Bronx,Mott Haven,40.80623875,-73.91609987
22,Bronx,Port Morris,40.80166363,-73.91322139
23,Bronx,Longwood,40.81509905,-73.8957882
24,Bronx,Hunts Point,40.80972988,-73.88331506
25,Bronx,Morrisania,40.82359199,-73.90150649
26,Bronx,Soundview,40.8210122,-73.8657461
27,Bronx,Clason Point,40.80655112,-73.85414416
28,Bronx,Throgs Neck,40.81510926,-73.81635002
29,Bronx,Country Club,40.84424594,-73.82409927
30,Bronx,Parkchester,40.83793782,-73.85600311
31,Bronx,Westchester Square,40.8406195,-73.84219408
32,Bronx,Van Nest,40.84360847,-73.86629918
33,Bronx,Morris Park,40.84754906,-73.85040178
34,Bronx,Belmont,40.8572771,-73.88845196
35,Bronx,Spuyten Duyvil,40.88139498,-73.91719048
36,Bronx,North Riverdale,40.90854283,-73.90453055
37,Bronx,Pelham Bay,40.85064141,-73.83207378
38,Bronx,Schuylerville,40.82657952,-73.82620276
39,Bronx,Edgewater Park,40.82198612,-73.81388514
40,Bronx,Castle Hill,40.81901438,-73.8480273
41,Bronx,Olinville,40.87137078,-73.86332362
42,Bronx,Pelham Gardens,40.86296562,-73.84161195
43,Bronx,Concourse,40.83428381,-73.91558942
44,Bronx,Unionport,40.8297743,-73.85053524
45,Bronx,Edenwald,40.8845613,-73.84808272
267,Bronx,Claremont Village,40.83142834,-73.90119903
268,Bronx,Concourse Village,40.82478049,-73.91584653
269,Bronx,Mount Eden,40.84382618,-73.91655552
270,Bronx,Mount Hope,40.84884161,-73.90829931
297,Bronx,Bronxdale,40.85272298,-73.86172578
298,Bronx,Allerton,40.86578788,-73.85931863
299,Bronx,Kingsbridge Heights,40.87039239,-73.90152265
46,Brooklyn,Bay Ridge,40.62580107,-74.03062069
47,Brooklyn,Bensonhurst,40.6110089,-73.99517998
48,Brooklyn,Sunset Park,40.64510295,-74.01031619
49,Brooklyn,Greenpoint,40.73020098,-73.95424093
50,Brooklyn,Gravesend,40.59526001,-73.97347088
51,Brooklyn,Brighton Beach,40.57682507,-73.96509449
52,Brooklyn,Sheepshead Bay,40.58689013,-73.9431864
53,Brooklyn,Manhattan Terrace,40.61443251,-73.95743841
54,Brooklyn,Flatbush,40.63632589,-73.95840107
55,Brooklyn,Crown Heights,40.67082918,-73.94329119
56,Brooklyn,East Flatbush,40.64171777,-73.93610256
57,Brooklyn,Kensington,40.64238196,-73.98042111
58,Brooklyn,Windsor Terrace,40.65694584,-73.9800734
59,Brooklyn,Prospect Heights,40.67682226,-73.96485924
60,Brooklyn,Brownsville,40.66394994,-73.91023536
61,Brooklyn,Williamsburg,40.70714439,-73.95811529
62,Brooklyn,Bushwick,40.69811611,-73.92525797
63,Brooklyn,Bedford Stuyvesant,40.68723161,-73.94178489
64,Brooklyn,Brooklyn Heights,40.69586372,-73.99378225
65,Brooklyn,Cobble Hill,40.68791972,-73.99856139
66,Brooklyn,Carroll Gardens,40.68054023,-73.99465373
67,Brooklyn,Red Hook,40.67625323,-74.01275897
68,Brooklyn,Gowanus,40.67393114,-73.99444087
69,Brooklyn,Fort Greene,40.68852726,-73.97290574
70,Brooklyn,Park Slope,40.67232052,-73.9770503
71,Brooklyn,Cypress Hills,40.68239101,-73.87661596
72,Brooklyn,East New York,40.6699257,-73.88069864
73,Brooklyn,Starrett City,40.64758905,-73.8793697
74,Brooklyn,Canarsie,40.63556433,-73.9020927
75,Brooklyn,Flatlands,40.63044604,-73.92911303
76,Brooklyn,Mill Island,40.60633642,-73.90818572
77,Brooklyn,Manhattan Beach,40.5779135,-73.94353723
78,Brooklyn,Coney Island,40.57429256,-73.98868296
79,Brooklyn,Bath Beach,40.5995187,-73.99875221
80,Brooklyn,Borough Park,40.63313051,-73.99049823
81,Brooklyn,Dyker Heights,40.61921946,-74.01931376
82,Brooklyn,Gerritsen Beach,40.59084843,-73.93010171
83,Brooklyn,Marine Park,40.60974778,-73.93134404
84,Brooklyn,Clinton Hill,40.69322942,-73.96784306
85,Brooklyn,Sea Gate,40.57637538,-74.00787311
86,Brooklyn,Downtown,40.69084402,-73.98346337
87,Brooklyn,Boerum Hill,40.68568291,-73.98374824
88,Brooklyn,Prospect Lefferts Gardens,40.65842002,-73.95489867
89,Brooklyn,Ocean Hill,40.67840255,-73.91306832
90,Brooklyn,City Line,40.67856996,-73.86797598
91,Brooklyn,Bergen Beach,40.61514955,-73.89855634
92,Brooklyn,Midwood,40.6255959,-73.95759523
93,Brooklyn,Prospect Park South,40.6470086,-73.96261317
94,Brooklyn,Georgetown,40.62384524,-73.91607484
95,Brooklyn,East Williamsburg,40.70849241,-73.93885815
96,Brooklyn,North Side,40.71482291,-73.95880858
97,Brooklyn,South Side,40.71086147,-73.95800095
98,Brooklyn,Ocean Parkway,40.61305977,-73.96836678
99,Brooklyn,Fort Hamilton,40.61476813,-74.03197915
221,Brooklyn,Ditmas Park,40.64367518,-73.96101312
222,Brooklyn,Wingate,40.66094656,-73.93718681
223,Brooklyn,Rugby,40.65557231,-73.92688213
259,Brooklyn,Remsen Village,40.65211745,-73.91665332
260,Brooklyn,New Lots,40.66274428,-73.88511776
261,Brooklyn,Paerdegat Basin,40.63131755,-73.90233474
262,Brooklyn,Mill Basin,40.61597424,-73.91515392
279,Brooklyn,Fulton Ferry,40.70328109,-73.99550752
280,Brooklyn,Vinegar Hill,40.7033215,-73.98111604
281,Brooklyn,Weeksville,40.67503987,-73.93053109
282,Brooklyn,Broadway Junction,40.67786105,-73.90331685
283,Brooklyn,Dumbo,40.70317633,-73.98875281
289,Brooklyn,Homecrest,40.5985251,-73.95918459
295,Brooklyn,Highland Park,40.68199893,-73.89034571
296,Brooklyn,Madison,40.6093777,-73.94841515
300,Brooklyn,Erasmus,40.64692607,-73.9481771
6,Manhattan,Marble Hill,40.87655078,-73.91065966
100,Manhattan,Chinatown,40.71561842,-73.99427936
101,Manhattan,Washington Heights,40.85190253,-73.93690028
102,Manhattan,Inwood,40.86768396,-73.92121042
103,Manhattan,Hamilton Heights,40.82360428,-73.94968792
104,Manhattan,Manhattanville,40.81693443,-73.95738539
105,Manhattan,Central Harlem,40.81597607,-73.94321113
106,Manhattan,East Harlem,40.79224947,-73.94418223
107,Manhattan,Upper East Side,40.77563857,-73.96050763
108,Manhattan,Yorkville,40.77592985,-73.94711784
109,Manhattan,Lenox Hill,40.76811266,-73.95885969
110,Manhattan,Roosevelt Island,40.76215961,-73.94916769
111,Manhattan,Upper West Side,40.787658,-73.97705924
112,Manhattan,Lincoln Square,40.77352889,-73.98533777
113,Manhattan,Clinton,40.75910089,-73.99611936
114,Manhattan,Midtown,40.7546911,-73.98166883
115,Manhattan,Murray Hill,40.74830308,-73.97833208
116,Manhattan,Chelsea,40.74403471,-74.00311633
117,Manhattan,Greenwich Village,40.72693289,-73.99991403
118,Manhattan,East Village,40.72784678,-73.98222617
119,Manhattan,Lower East Side,40.71780675,-73.98089032
120,Manhattan,Tribeca,40.72152197,-74.01068329
121,Manhattan,Little Italy,40.71932379,-73.99730467
122,Manhattan,Soho,40.72218384,-74.00065667
123,Manhattan,West Village,40.73443394,-74.00617998
124,Manhattan,Manhattan Valley,40.79730704,-73.96428618
125,Manhattan,Morningside Heights,40.80799974,-73.96389628
126,Manhattan,Gramercy,40.73720983,-73.98137595
127,Manhattan,Battery Park City,40.71193198,-74.01686931
128,Manhattan,Financial District,40.70710711,-74.01066545
247,Manhattan,Carnegie Hill,40.78268257,-73.95325647
248,Manhattan,Noho,40.72325902,-73.98843368
249,Manhattan,Civic Center,40.71522892,-74.0054153
250,Manhattan,Midtown South,40.74850966,-73.98871313
271,Manhattan,Sutton Place,40.76028033,-73.96355614
273,Manhattan,Turtle Bay,40.75204237,-73.96770825
274,Manhattan,Tudor City,40.74691741,-73.97121929
275,Manhattan,Stuyvesant Town,40.73099955,-73.9740517
276,Manhattan,Flatiron,40.73967305,-73.99094711
301,Manhattan,Hudson Yards,40.75665808,-74.00011136
129,Queens,Astoria,40.76850859,-73.91565374
130,Queens,Woodside,40.74634909,-73.90184167
131,Queens,Jackson Heights,40.75198138,-73.88282109
132,Queens,Elmhurst,40.74404851,-73.88165622
133,Queens,Howard Beach,40.65422528,-73.83813765
134,Queens,Corona,40.74238175,-73.85682497
135,Queens,Forest Hills,40.72526378,-73.84447501
136,Queens,Kew Gardens,40.70517904,-73.82981906
137,Queens,Richmond Hill,40.69794731,-73.83183321
138,Queens,Flushing,40.7644542,-73.831773
139,Queens,Long Island City,40.75021735,-73.93920224
140,Queens,Sunnyside,40.74017628,-73.92691618
141,Queens,East Elmhurst,40.76407324,-73.86704148
142,Queens,Maspeth,40.72542737,-73.89621714
143,Queens,Ridgewood,40.70832316,-73.90143518
144,Queens,Glendale,40.70276243,-73.87074167
145,Queens,Rego Park,40.72897409,-73.85782687
146,Queens,Woodhaven,40.68988688,-73.85811047
147,Queens,Ozone Park,40.68070847,-73.84320266
148,Queens,South Ozone Park,40.66854958,-73.80986479
149,Queens,College Point,40.78490275,-73.84304529
150,Queens,Whitestone,40.78129077,-73.81420217
151,Queens,Bayside,40.76604063,-73.77427363
152,Queens,Auburndale,40.76172955,-73.79176244
153,Queens,Little Neck,40.77082619,-73.73889776
154,Queens,Douglaston,40.7668461,-73.74249821
155,Queens,Glen Oaks,40.7494408,-73.71548119
156,Queens,Bellerose,40.72857318,-73.72012815
157,Queens,Kew Gardens Hills,40.72257824,-73.82087765
158,Queens,Fresh Meadows,40.73439447,-73.78271337
159,Queens,Briarwood,40.71093547,-73.81174822
160,Queens,Jamaica Center,40.70465736,-73.79690166
161,Queens,Oakland Gardens,40.74561857,-73.75494976
162,Queens,Queens Village,40.71889309,-73.73871485
163,Queens,Hollis,40.71124344,-73.75925009
164,Queens,South Jamaica,40.69691125,-73.79042613
165,Queens,St. Albans,40.69444539,-73.75867604
166,Queens,Rochdale,40.6752114,-73.77258788
167,Queens,Springfield Gardens,40.66623049,-73.76042093
168,Queens,Cambria Heights,40.69277464,-73.73526874
169,Queens,Rosedale,40.65981643,-73.73526079
170,Queens,Far Rockaway,40.60313443,-73.75497968
171,Queens,Broad Channel,40.60302658,-73.82005489
172,Queens,Breezy Point,40.55740129,-73.92551197
173,Queens,Steinway,40.77592302,-73.9022896
174,Queens,Beechhurst,40.7927814,-73.80436452
175,Queens,Bay Terrace,40.78284281,-73.77680223
176,Queens,Edgemere,40.59564181,-73.77613282
177,Queens,Arverne,40.58914394,-73.79199233
178,Queens,Rockaway Beach,40.5828017,-73.82236121
179,Queens,Neponsit,40.57203673,-73.85754672
180,Queens,Murray Hill,40.76412612,-73.81276269
181,Queens,Floral Park,40.74137842,-73.70884706
182,Queens,Holliswood,40.72095721,-73.76714167
183,Queens,Jamaica Estates,40.71680483,-73.78722697
184,Queens,Queensboro Hill,40.74457231,-73.82580915
185,Queens,Hillcrest,40.7238249,-73.79760301
186,Queens,Ravenswood,40.76170453,-73.93157506
187,Queens,Lindenwood,40.66391842,-73.84963782
188,Queens,Laurelton,40.6678839,-73.74025608
189,Queens,Lefrak City,40.73607457,-73.86252471
190,Queens,Belle Harbor,40.57615557,-73.8540175
191,Queens,Rockaway Park,40.58034296,-73.8415337
192,Queens,Somerville,40.59771062,-73.79664751
193,Queens,Brookville,40.66000323,-73.75175311
194,Queens,Bellaire,40.73301404,-73.73889199
195,Queens,North Corona,40.754071,-73.85751791
196,Queens,Forest Hills Gardens,40.71461108,-73.84102211
263,Queens,Jamaica Hills,40.71145964,-73.79646462
264,Queens,Utopia,40.73350025,-73.79671678
265,Queens,Pomonok,40.73493618,-73.8048612
266,Queens,Astoria Heights,40.77031739,-73.89467996
272,Queens,Hunters Point,40.74341409,-73.95386782
277,Queens,Sunnyside Gardens,40.74565181,-73.91819286
278,Queens,Blissville,40.73725072,-73.93244235
288,Queens,Roxbury,40.56737589,-73.8921376
290,Queens,Middle Village,40.71641451,-73.88114319
294,Queens,Malba,40.79060156,-73.82667757
302,Queens,Hammels,40.58733774,-73.80553003
303,Queens,Bayswater,40.61132169,-73.76596781
304,Queens,Queensbridge,40.7560913,-73.9456307
197,Staten Island,St. George,40.64498157,-74.07935313
198,Staten Island,New Brighton,40.64061456,-74.08701651
199,Staten Island,Stapleton,40.62692763,-74.07790193
200,Staten Island,Rosebank,40.61530495,-74.06980527
201,Staten Island,West Brighton,40.63187893,-74.10718178
202,Staten Island,Grymes Hill,40.62418479,-74.0872482
203,Staten Island,Todt Hill,40.59706852,-74.11132882
204,Staten Island,South Beach,40.58024741,-74.07955293
205,Staten Island,Port Richmond,40.63366931,-74.12943427
206,Staten Island,Mariner's Harbor,40.63254639,-74.15008537
207,Staten Island,Port Ivory,40.63968298,-74.17464533
208,Staten Island,Castleton Corners,40.61333594,-74.11918059
209,Staten Island,New Springville,40.59425238,-74.16496031
210,Staten Island,Travis,40.58631375,-74.19073718
211,Staten Island,New Dorp,40.57257232,-74.11647944
212,Staten Island,Oakwood,40.55846224,-74.12156594
213,Staten Island,Great Kills,40.54948023,-74.14932381
214,Staten Island,Eltingville,40.54223075,-74.1643308
215,Staten Island,Annadale,40.53811417,-74.17854866
216,Staten Island,Woodrow,40.54196762,-74.20524582
217,Staten Island,Tottenville,40.50533376,-74.24656934
218,Staten Island,Tompkinsville,40.63731607,-74.08055352
219,Staten Island,Silver Lake,40.61919311,-74.09629029
220,Staten Island,Sunnyside,40.61276016,-74.09712552
224,Staten Island,Park Hill,40.60919044,-74.08015735
225,Staten Island,Westerleigh,40.62109047,-74.13304144
226,Staten Island,Graniteville,40.62017151,-74.15315246
227,Staten Island,Arlington,40.6353251,-74.1651042
228,Staten Island,Arrochar,40.59631257,-74.06712363
229,Staten Island,Grasmere,40.59826836,-74.07667436
230,Staten Island,Old Town,40.59632891,-74.08751118
231,Staten Island,Dongan Hills,40.58867295,-74.09639905
232,Staten Island,Midland Beach,40.57352691,-74.09348266
233,Staten Island,Grant City,40.57621559,-74.10585599
234,Staten Island,New Dorp Beach,40.56425549,-74.10432707
235,Staten Island,Bay Terrace,40.55398801,-74.13916622
236,Staten Island,Huguenot,40.53191192,-74.19174106
237,Staten Island,Pleasant Plains,40.52469938,-74.21983107
238,Staten Island,Butler Manor,40.50608165,-74.2295035
239,Staten Island,Charleston,40.53053148,-74.23215776
240,Staten Island,Rossville,40.54940401,-74.21572851
241,Staten Island,Arden Heights,40.54928582,-74.18588675
242,Staten Island,Greenridge,40.55529524,-74.17079415
243,Staten Island,Heartland Village,40.58913895,-74.15902208
244,Staten Island,Chelsea,40.59472603,-74.18956046
245,Staten Island,Bloomfield,40.60577868,-74.18725638
246,Staten Island,Bulls Head,40.6095918,-74.15940949
251,Staten Island,Richmond Town,40.56960594,-74.1340573
252,Staten Island,Shore Acres,40.60971934,-74.06667766
253,Staten Island,Clifton,40.61917845,-74.07264245
254,Staten Island,Concord,40.60447319,-74.08402365
255,Staten Island,Emerson Hill,40.60679439,-74.09776207
256,Staten Island,Randall Manor,40.63563001,-74.09805062
257,Staten Island,Howland Hook,40.63843284,-74.18622332
258,Staten Island,Elm Park,40.63014674,-74.14181679
284,Staten Island,Manor Heights,40.60180958,-74.120594
285,Staten Island,Willowbrook,40.60370693,-74.13208447
286,Staten Island,Sandy Ground,40.54113992,-74.21776636
287,Staten Island,Egbertville,40.57911874,-74.12727241
291,Staten Island,Prince's Bay,40.52626407,-74.20152556
292,Staten Island,Lighthouse Hill,40.57650629,-74.13792664
293,Staten Island,Richmond Valley,40.51954146,-74.22957081
305,Staten Island,Fox Hills,40.61731079,-74.08173992
